iter	Passed	Remaining
737	36471	5930
738	36519	5880
739	36613	5838
740	36718	5797
741	36821	5756
742	36925	5715
743	37019	5672
744	37111	5628
745	37207	5586
746	37298	5542
747	37391	5498
748	37505	5458
749	37604	5414
750	37686	5369
751	37759	5322
752	37868	5280
753	37954	5235
754	38028	5187
755	38142	5146
756	38251	5103
757	38360	5060
758	38439	5013
759	38525	4967
760	38624	4923
761	38714	4877
762	38795	4830
763	38888	4784
764	38992	4740
765	39087	4694
766	39175	4647
767	39271	4602
768	39365	4556
769	39470	4510
770	39574	4465
771	39660	4418
772	39742	4370
773	39812	4320
774	39904	4273
775	40000	4226
776	40102	4180
777	40196	4133
778	40281	4085
779	40373	4037
780	40447	3987
781	40545	3940
782	40625	3891
783	40712	3842
784	40812	3795
785	40891	3745
786	40986	3697
787	41074	3648
788	41126	3596
789	41174	3544
790	41216	3491
791	41257	3438
792	41311	3386
793	41357	3333
794	41489	3287
795	41599	3240
796	41699	3191
797	41776	3141
798	41896	3093
799	42006	3045
800	42132	2998
801	42233	2948
802	42332	2899
803	42419	2849
804	42509	2798
805	42602	2748
806	42697	2698
807	42784	2647
808	42871	2596
809	42971	2546
810	43072	2496
811	43158	2444
812	43275	2395
813	43367	2344
814	43454	2292
815	43552	2241
816	43650	2190
817	43748	2139
818	43841	2087
819	43919	2035
820	44006	1983
821	44112	1931
822	44221	1880
823	44323	1828
824	44419	1776
825	44504	1724
826	44615	1672
827	44717	1620
828	44812	1567
829	44894	1514
830	44991	1461
831	45069	1408
832	45156	1355
833	45246	1302
834	45323	1248
835	45394	1194
836	45506	1141
837	45619	1088
838	45717	1035
839	45778	980
840	45834	926
841	45878	871
842	45930	817
843	45974	762
844	46024	708
845	46074	653
846	46128	599
847	46178	544
848	46231	490
849	46283	435
850	46334	381
851	46378	326
852	46427	272
853	46480	217
854	46529	163
855	46584	108
856	46721	54
857	46815	0
