iter	Passed	Remaining
591	21546	9681
592	21580	9643
593	21609	9604
594	21642	9566
595	21675	9528
596	21712	9492
597	21751	9457
598	21782	9418
599	21822	9383
600	21854	9345
601	21887	9307
602	21925	9272
603	21962	9235
604	21993	9197
605	22035	9163
606	22073	9127
607	22107	9090
608	22145	9054
609	22179	9017
610	22217	8981
611	22252	8944
612	22293	8910
613	22340	8877
614	22372	8839
615	22403	8801
616	22432	8762
617	22467	8725
618	22498	8686
619	22534	8650
620	22565	8611
621	22593	8572
622	22625	8534
623	22669	8500
624	22701	8463
625	22735	8426
626	22765	8387
627	22793	8347
628	22826	8310
629	22865	8275
630	22899	8238
631	22938	8202
632	22981	8168
633	23020	8133
634	23058	8097
635	23093	8060
636	23138	8027
637	23175	7991
638	23231	7962
639	23273	7927
640	23314	7892
641	23351	7856
642	23410	7827
643	23470	7799
644	23516	7765
645	23557	7730
646	23592	7694
647	23650	7664
648	23682	7626
649	23717	7589
650	23767	7557
651	23808	7522
652	23852	7488
653	23908	7457
654	23955	7424
655	23997	7389
656	24035	7353
657	24071	7316
658	24109	7280
659	24140	7242
660	24172	7204
661	24209	7167
662	24239	7129
663	24268	7090
664	24300	7052
665	24332	7014
666	24362	6976
667	24392	6937
668	24427	6901
669	24457	6862
670	24487	6824
671	24517	6786
672	24547	6747
673	24578	6709
674	24612	6672
675	24639	6633
676	24672	6596
677	24704	6558
678	24735	6520
679	24765	6482
680	24797	6445
681	24827	6407
682	24860	6369
683	24890	6331
684	24922	6294
685	24954	6256
686	24986	6219
687	25019	6182
688	25049	6144
689	25083	6107
690	25116	6070
691	25143	6031
692	25175	5994
693	25209	5957
694	25241	5919
695	25273	5882
696	25306	5845
697	25338	5808
698	25373	5771
699	25409	5735
700	25438	5697
701	25472	5660
702	25501	5622
703	25533	5585
704	25583	5552
705	25614	5514
706	25644	5477
707	25680	5440
708	25711	5403
709	25743	5366
710	25775	5329
711	25807	5292
712	25842	5255
713	25875	5218
714	25908	5181
715	25936	5143
716	25968	5106
717	26004	5070
718	26040	5034
719	26074	4997
720	26109	4961
721	26140	4923
722	26169	4886
723	26204	4850
724	26238	4813
725	26291	4780
726	26323	4743
727	26358	4706
728	26389	4669
729	26421	4632
730	26457	4596
731	26488	4559
732	26519	4522
733	26550	4485
734	26579	4448
735	26609	4410
736	26644	4374
737	26673	4337
738	26702	4299
739	26738	4263
740	26773	4227
741	26807	4190
742	26842	4154
743	26876	4118
744	26913	4082
745	26949	4045
746	27019	4014
747	27090	3983
748	27155	3951
749	27268	3926
750	27353	3897
751	27413	3864
752	27459	3829
753	27495	3792
754	27531	3755
755	27562	3718
756	27602	3682
757	27632	3645
758	27665	3608
759	27704	3572
760	27741	3535
761	27796	3501
762	27844	3466
763	27915	3434
764	27971	3400
765	28016	3364
766	28072	3330
767	28232	3308
768	28316	3277
769	28422	3248
770	28477	3213
771	28520	3177
772	28560	3140
773	28623	3106
774	28671	3070
775	28705	3033
776	28741	2996
777	28772	2958
778	28818	2922
779	28863	2886
780	28906	2849
781	28948	2813
782	28990	2776
783	29034	2740
784	29084	2704
785	29146	2669
786	29230	2637
787	29338	2606
788	29893	2614
789	30033	2585
790	30136	2552
791	30200	2516
792	30244	2479
793	30295	2441
794	30368	2406
795	30433	2370
796	30471	2332
797	30522	2294
798	30587	2258
799	30631	2220
800	30685	2183
801	30737	2146
802	30787	2108
803	30836	2071
804	30905	2034
805	30941	1996
806	31003	1959
807	31046	1921
808	31080	1882
809	31117	1843
810	31151	1805
811	31186	1766
812	31219	1728
813	31258	1689
814	31324	1652
815	31361	1614
816	31397	1575
817	31435	1537
818	31471	1498
819	31509	1460
820	31546	1421
821	31581	1383
822	31618	1344
823	31652	1306
824	31686	1267
825	31731	1229
826	31778	1191
827	31813	1152
828	31850	1114
829	31886	1075
830	31918	1037
831	31953	998
832	32039	961
833	32074	923
834	32109	884
835	32145	845
836	32178	807
837	32209	768
838	32238	730
839	32270	691
840	32301	652
841	32334	614
842	32364	575
843	32400	537
844	32429	498
845	32462	460
846	32493	421
847	32531	383
848	32564	345
849	32599	306
850	32637	268
851	32669	230
852	32703	191
853	32735	153
854	32765	114
855	32796	76
856	32829	38
857	32925	0
